census_year,clue_small_area,accommodation_and_food_services,administrative_and_support_services,agriculture_forestry_and_fishing,arts_and_recreation_services,construction,education_and_training,electricity_gas_water_and_waste_services,financial_and_insurance_services,health_care_and_social_assistance,information_media_and_telecommunications,manufacturing,mining,other_services,professional_scientific_and_technical_services,public_administration_and_safety,rental_hiring_and_real_estate_services,retail_trade,transport_postal_and_warehousing,wholesale_trade,total_establishments_in_block,Total
2005,East Melbourne,58,13,0,46,3,15,7,11,171,10,6,0,49,79,21,6,18,3,7,523,428.0
2005,Kensington,11,2,0,60,3,1,5,2,11,0,25,0,13,9,3,2,7,5,19,178,141.0
2005,Melbourne (CBD),1163,495,9,100,69,181,55,633,352,220,272,36,603,1461,169,154,1557,120,138,7787,441.0
2005,Melbourne (Remainder),29,22,1,37,6,7,3,31,49,11,6,3,33,73,5,7,19,9,7,358,
2005,North Melbourne,99,24,2,42,20,18,21,21,47,39,71,1,136,135,6,24,98,38,58,900,465.0
2005,Parkville,49,3,2,20,0,14,9,5,43,3,2,0,24,11,4,1,18,4,1,213,
2005,Port Melbourne,6,11,0,8,13,1,5,3,0,10,35,1,3,34,4,4,13,22,43,216,0.0
2005,South Yarra,16,0,0,4,0,12,6,0,4,1,0,0,10,3,1,0,10,0,0,67,
2005,Southbank,104,22,3,42,8,10,21,16,15,35,12,6,50,83,9,18,98,10,22,584,532.0
2005,West Melbourne (Industrial),9,3,1,10,4,0,10,1,0,3,18,0,7,4,4,16,9,83,235,417,
2005,West Melbourne (Residential),53,24,0,23,10,10,9,16,18,25,34,0,72,86,11,8,53,26,48,526,118.0
2006,Carlton,218,36,0,37,12,66,16,43,101,25,32,0,153,158,18,20,166,10,27,1138,310.0
2006,City of Melbourne (total),2022,700,20,464,173,362,177,858,832,406,545,50,1216,2339,274,294,2225,381,611,13949,
2006,Docklands,94,17,2,17,8,3,6,9,7,9,5,0,29,38,11,15,108,37,3,418,448.0
2006,East Melbourne,58,13,0,46,3,15,7,11,171,10,6,0,49,79,21,6,18,3,7,523,17.0
2006,Kensington,10,2,0,59,3,1,5,2,10,2,21,0,14,9,2,2,11,5,15,173,88.0
2006,Melbourne (CBD),1258,516,7,113,75,205,55,678,350,227,267,41,621,1578,170,165,1590,117,136,8169,610.0
2006,Melbourne (Remainder),27,23,1,42,7,6,3,38,63,10,9,1,33,89,10,4,22,8,10,406,300.0
2006,North Melbourne,99,24,2,42,20,18,21,21,47,39,71,1,136,135,6,24,98,38,58,900,52.0
2006,Parkville,49,3,2,20,0,14,9,5,43,3,2,0,24,11,4,1,18,4,1,213,178.0
2006,Port Melbourne,8,10,1,8,19,2,6,8,2,19,60,2,7,53,5,4,22,38,54,328,0.0
2006,South Yarra,17,1,0,5,0,13,5,0,3,1,0,0,10,0,1,0,10,0,0,66,
2006,Southbank,122,28,4,42,12,9,25,26,17,33,20,5,61,99,11,29,100,12,17,672,549.0
2006,West Melbourne (Industrial),9,3,1,10,4,0,10,1,0,3,18,0,7,4,4,16,9,83,235,417,
2006,West Melbourne (Residential),53,24,0,23,10,10,9,16,18,25,34,0,72,86,11,8,53,26,48,526,
2007,Carlton,239,27,1,38,12,85,15,37,93,23,31,0,152,152,21,16,168,7,27,1144,676.0
2007,City of Melbourne (total),2110,715,16,495,202,434,190,882,920,404,563,52,1259,2474,290,318,2325,374,646,14669,
2007,Docklands,117,19,0,24,18,6,8,18,9,12,9,1,35,49,11,33,157,41,10,577,73.0
2007,East Melbourne,62,12,0,42,4,17,8,18,208,9,6,0,53,84,21,7,19,4,6,580,
2007,Kensington,10,2,0,59,3,1,5,2,10,2,21,0,14,9,2,2,11,5,15,173,10.0
2007,Melbourne (CBD),1295,533,7,131,76,241,57,686,360,226,286,42,650,1681,177,174,1622,117,133,8494,1054.0
2007,Melbourne (Remainder),27,23,1,42,7,6,3,38,63,10,9,1,33,89,10,4,22,8,10,406,
2007,North Melbourne,103,43,0,46,34,25,28,23,70,44,78,1,147,145,12,30,115,46,83,1073,103.0
2007,Parkville,51,2,1,28,1,15,7,10,70,4,3,0,25,15,3,1,23,6,0,265,76.0
2007,Port Melbourne,8,10,1,8,19,2,6,8,2,19,60,2,7,53,5,4,22,38,54,328,1.0
2007,South Yarra,17,1,0,5,0,13,5,0,3,1,0,0,10,0,1,0,10,0,0,66,
2007,Southbank,122,28,4,42,12,9,25,26,17,33,20,5,61,99,11,29,100,12,17,672,
2007,West Melbourne (Industrial),7,2,1,10,3,0,12,1,0,3,12,0,5,5,4,12,7,66,244,394,
2007,West Melbourne (Residential),52,13,0,20,13,14,11,15,15,18,28,0,67,93,12,6,49,24,47,497,38.0
2008,Carlton,239,27,1,38,12,85,15,37,93,23,31,0,152,152,21,16,168,7,27,1144,217.0
2008,City of Melbourne (total),2205,747,17,528,237,512,198,961,951,403,579,59,1306,2662,305,343,2327,373,651,15364,
2008,Docklands,117,19,0,24,18,6,8,18,9,12,9,1,35,49,11,33,157,41,10,577,89.0
2008,East Melbourne,62,12,0,42,4,17,8,18,208,9,6,0,53,84,21,7,19,4,6,580,27.0
2008,Kensington,29,7,1,82,14,6,11,4,16,6,36,0,40,20,5,7,29,13,33,359,86.0
2008,Melbourne (CBD),1352,558,8,137,82,307,61,752,384,221,287,48,679,1828,192,189,1609,109,121,8924,33.0
2008,Melbourne (Remainder),37,23,1,43,9,7,3,47,63,12,9,1,30,90,7,8,18,6,8,422,
2008,North Melbourne,103,43,0,46,34,25,28,23,70,44,78,1,147,145,12,30,115,46,83,1073,59.0
2008,Parkville,51,2,1,28,1,15,7,10,70,4,3,0,25,15,3,1,23,6,0,265,31.0
2008,Port Melbourne,8,12,1,9,31,4,7,9,1,18,60,2,7,54,4,4,20,36,58,345,0.0
2008,South Yarra,17,2,0,5,0,13,5,0,3,1,0,0,10,0,1,0,9,0,0,66,
2008,Southbank,131,27,3,44,16,13,22,27,19,32,20,6,56,127,12,30,104,15,14,718,11.0
2008,West Melbourne (Industrial),7,2,1,10,3,0,12,1,0,3,12,0,5,5,4,12,7,66,244,394,
2008,West Melbourne (Residential),52,13,0,20,13,14,11,15,15,18,28,0,67,93,12,6,49,24,47,497,9.0
2009,Carlton,253,26,1,35,21,87,14,38,99,21,32,0,149,148,23,16,163,5,29,1160,291.0
2009,City of Melbourne (total),2329,756,17,561,255,515,195,964,998,381,561,63,1371,2704,293,349,2431,350,619,15712,
2009,Docklands,162,30,1,31,19,6,9,30,14,19,15,2,54,89,16,40,283,35,10,865,188.0
2009,East Melbourne,68,17,0,41,6,16,7,19,218,7,7,1,50,82,19,9,20,2,4,593,151.0
2009,Kensington,29,7,1,82,14,6,11,4,16,6,36,0,40,20,5,7,29,13,33,359,219.0
2009,Melbourne (CBD),1395,552,7,163,82,306,63,741,393,214,286,51,736,1816,180,193,1590,109,121,8998,654.0
2009,Melbourne (Remainder),37,23,1,43,9,7,3,47,63,12,9,1,30,90,7,8,18,6,8,422,17.0
2009,North Melbourne,112,41,0,50,41,25,23,22,89,32,61,0,145,153,13,23,118,39,77,1064,74.0
2009,Parkville,51,2,1,28,1,15,7,10,70,4,3,0,25,15,3,1,23,6,0,265,68.0
2009,Port Melbourne,8,12,1,9,31,4,7,9,1,18,60,2,7,54,4,4,20,36,58,345,0.0
2009,South Yarra,17,2,0,5,0,13,5,0,3,1,0,0,10,0,1,0,9,0,0,66,
2009,Southbank,131,27,3,44,16,13,22,27,19,32,20,6,56,127,12,30,104,15,14,718,665.0
2009,West Melbourne (Industrial),8,1,1,11,2,0,12,1,0,3,10,0,6,5,4,11,8,64,218,365,0.0
2009,West Melbourne (Residential),58,16,0,19,13,17,12,16,13,12,22,0,63,105,6,7,46,20,47,492,175.0
2010,Carlton,253,26,1,35,21,87,14,38,99,21,32,0,149,148,23,16,163,5,29,1160,35.0
2010,City of Melbourne (total),2401,731,15,574,265,509,197,913,1019,358,576,60,1386,2618,294,361,2438,349,631,15695,
2010,Docklands,162,30,1,31,19,6,9,30,14,19,15,2,54,89,16,40,283,35,10,865,66.0
2010,East Melbourne,68,17,0,41,6,16,7,19,218,7,7,1,50,82,19,9,20,2,4,593,86.0
2010,Kensington,29,7,1,82,14,6,11,4,16,6,36,0,40,20,5,7,29,13,33,359,112.0
2010,Melbourne (CBD),1449,525,4,166,79,299,65,700,394,200,281,50,750,1728,178,196,1595,109,121,8889,971.0
2010,Melbourne (Remainder),40,23,1,49,10,7,4,40,67,9,11,1,27,72,6,10,18,7,6,408,123.0
2010,North Melbourne,112,41,0,50,41,25,23,22,89,32,61,0,145,153,13,23,118,39,77,1064,123.0
2010,Parkville,57,3,1,30,0,15,7,6,85,3,4,0,23,15,4,1,23,5,0,282,
2010,Port Melbourne,17,13,2,11,44,5,6,10,2,13,77,0,13,74,7,11,22,35,72,434,0.0
2010,South Yarra,17,2,0,5,0,13,5,0,3,1,0,0,10,0,1,0,9,0,0,66,
2010,Southbank,131,27,3,44,16,13,22,27,19,32,20,6,56,127,12,30,104,15,14,718,609.0
2010,West Melbourne (Industrial),8,1,1,11,2,0,12,1,0,3,10,0,6,5,4,11,8,64,218,365,
2010,West Melbourne (Residential),58,16,0,19,13,17,12,16,13,12,22,0,63,105,6,7,46,20,47,492,10.0
2011,Carlton,253,26,1,35,21,87,14,38,99,21,32,0,149,148,23,16,163,5,29,1160,369.0
2011,City of Melbourne (total),2492,723,17,582,284,518,188,914,1024,344,582,58,1389,2647,287,372,2576,348,632,15977,
2011,Docklands,162,30,1,31,19,6,9,30,14,19,15,2,54,89,16,40,283,35,10,865,806.0
2011,East Melbourne,68,17,0,41,6,16,7,19,218,7,7,1,50,82,19,9,20,2,4,593,0.0
2011,Kensington,41,7,4,89,31,15,10,3,27,11,56,2,54,42,5,13,52,15,34,511,57.0
2011,Melbourne (CBD),1507,518,4,173,77,299,65,700,386,194,282,48,752,1729,173,201,1602,109,117,8936,242.0
2011,Melbourne (Remainder),38,23,1,49,10,6,4,40,64,9,11,1,25,67,6,10,14,7,6,391,0.0
2011,North Melbourne,112,41,0,50,41,25,23,22,89,32,61,0,145,153,13,23,118,39,77,1064,530.0
2011,Parkville,55,3,1,30,0,14,7,6,84,2,4,0,22,13,4,1,23,5,0,274,14.0
2011,Port Melbourne,17,13,2,11,44,5,6,10,2,13,77,0,13,74,7,11,22,35,72,434,0.0
2011,South Yarra,16,2,0,5,0,14,5,0,3,1,0,0,10,0,1,0,9,0,0,66,
2011,Southbank,160,26,3,40,25,16,14,29,24,22,16,5,53,142,10,32,220,14,20,871,720.0
2011,West Melbourne (Industrial),8,1,1,11,2,0,12,1,0,3,10,0,6,5,4,11,8,64,218,365,
2011,West Melbourne (Residential),58,16,0,19,13,17,12,16,13,12,22,0,63,105,6,7,46,20,47,492,72.0
2012,Carlton,180,27,2,37,15,38,7,30,73,10,22,0,131,106,15,17,133,5,19,867,470.0
2012,City of Melbourne (total),2551,718,17,578,311,510,188,919,1046,325,569,58,1444,2736,281,378,2494,340,628,16091,
2012,Docklands,171,34,0,36,21,11,10,25,20,25,12,3,62,100,14,40,260,33,12,889,1440.0
2012,East Melbourne,44,12,0,27,7,8,11,18,112,4,3,1,23,48,13,6,13,2,5,357,0.0
2012,Kensington,34,7,3,83,26,11,9,3,24,8,45,1,44,33,5,11,44,13,32,436,440.0
2012,Melbourne (CBD),1941,634,4,174,115,342,74,919,561,222,427,58,979,2329,227,274,1999,131,162,11572,1677.0
2012,Melbourne (Remainder),29,4,0,30,0,5,3,2,10,0,0,0,11,12,2,0,11,2,0,121,0.0
2012,North Melbourne,163,55,1,70,69,39,32,27,127,49,88,0,224,228,20,34,171,48,107,1552,489.0
2012,Parkville,85,6,0,36,1,22,8,10,79,3,8,0,22,20,4,1,34,6,0,345,141.0
2012,Port Melbourne,16,13,2,11,43,5,6,10,2,13,76,0,13,74,6,11,21,35,72,429,0.0
2012,South Yarra,16,2,0,5,0,14,5,0,3,1,0,0,10,0,1,0,9,0,0,66,
2012,Southbank,148,26,3,32,24,15,12,27,23,21,15,5,47,127,7,31,217,13,19,812,700.0
2012,West Melbourne (Industrial),8,0,1,12,5,1,12,1,0,4,11,0,5,4,4,11,9,61,223,372,0.0
2012,West Melbourne (Residential),77,16,0,27,17,29,8,21,15,13,20,0,71,129,7,9,55,28,43,585,294.0
2013,Carlton,253,28,2,42,17,86,14,34,100,16,30,0,149,142,20,20,152,4,27,1136,84.0
2013,City of Melbourne (total),2669,701,17,584,339,517,196,939,1059,310,566,54,1470,2770,279,387,2499,350,639,16345,
2013,Docklands,176,37,0,38,27,11,11,27,20,25,15,4,67,108,15,45,264,37,14,941,594.0
2013,East Melbourne,71,16,0,40,9,12,11,23,227,5,5,1,52,89,19,7,17,2,6,612,
2013,Kensington,44,7,4,85,26,9,11,4,25,11,43,0,46,41,5,16,48,22,31,478,134.0
2013,Melbourne (CBD),1616,494,5,153,97,278,63,722,400,154,264,45,822,1830,165,201,1553,106,114,9082,1663.0
2013,Melbourne (Remainder),42,22,0,59,9,17,3,40,66,11,13,1,38,77,7,11,17,7,9,449,
2013,North Melbourne,114,48,2,53,48,31,28,23,106,32,66,0,159,162,15,24,110,36,80,1137,166.0
2013,Parkville,60,3,0,33,1,22,8,7,79,2,6,0,21,20,4,2,24,5,0,297,204.0
2013,Port Melbourne,24,15,2,12,62,8,8,14,5,17,93,0,15,74,10,15,28,52,81,535,0.0
2013,South Yarra,21,3,0,11,0,22,8,0,5,1,0,0,12,0,2,0,10,0,0,95,
2013,Southbank,224,29,4,51,40,20,23,34,26,24,19,6,54,150,10,39,249,15,24,1041,2530.0
2013,West Melbourne (Industrial),8,0,1,12,5,1,12,1,0,4,11,0,5,4,4,11,9,61,223,372,
2013,West Melbourne (Residential),61,14,0,18,13,21,8,18,14,12,19,0,56,109,6,6,42,21,35,473,344.0
2014,Carlton,366,37,2,56,22,106,16,57,136,21,33,0,203,195,22,29,211,5,28,1545,2799.0
2014,City of Melbourne (total),5628,1336,34,1198,612,1052,370,1838,2158,560,1090,110,3018,5470,542,806,4946,688,1214,32670,
2014,Docklands,224,35,0,42,18,12,9,31,19,20,20,2,73,121,8,49,233,36,20,972,523.0
2014,East Melbourne,125,21,0,66,9,17,11,17,392,7,7,2,83,98,37,17,24,3,4,940,
2014,Kensington,44,6,3,85,12,6,8,2,26,12,31,0,49,29,2,15,43,18,18,409,52.0
2014,Melbourne (CBD),890,325,5,107,64,193,35,520,261,71,113,39,499,1196,77,128,751,64,73,5411,5999.0
2014,Melbourne (Remainder),48,23,0,38,8,14,0,40,70,11,13,1,33,77,7,11,19,9,9,431,
2014,North Melbourne,158,44,1,60,48,36,27,30,116,31,81,0,169,186,18,28,119,39,77,1268,204.0
2014,Parkville,66,3,0,39,0,19,5,3,77,0,1,0,19,9,2,1,19,4,0,267,350.0
2014,Port Melbourne,11,13,0,7,49,6,7,12,5,15,66,0,8,64,8,13,17,34,73,408,0.0
2014,South Yarra,9,1,0,3,0,6,2,0,0,1,0,0,8,0,1,0,5,0,0,36,
2014,Southbank,198,24,3,53,33,18,21,29,24,23,11,4,49,137,11,37,243,15,25,958,818.0
2014,West Melbourne (Industrial),9,0,1,10,3,0,12,1,0,5,7,0,7,3,2,11,8,57,197,333,
2014,West Melbourne (Residential),54,11,0,17,10,19,7,15,18,12,15,0,50,92,7,6,38,20,32,423,632.0
2015,Carlton,347,33,2,48,18,110,15,56,142,18,39,0,177,180,21,32,174,4,29,1445,644.0
2015,City of Melbourne (total),5756,1294,30,1206,608,1080,372,1754,2176,542,1104,98,3060,5540,534,828,4846,688,1196,32712,
2015,Docklands,233,35,0,43,21,13,9,34,21,21,22,2,78,129,11,52,234,40,25,1023,874.0
2015,East Melbourne,88,21,0,58,8,14,10,15,339,8,6,1,65,96,26,11,17,3,5,791,
2015,Kensington,64,16,4,137,38,12,13,5,26,15,67,0,51,51,9,16,57,21,51,653,
2015,Melbourne (CBD),2190,603,8,223,118,390,85,902,608,184,402,61,1200,2527,181,293,1913,122,159,12169,4418.0
2015,Melbourne (Remainder),67,26,0,48,13,13,4,39,71,7,8,0,39,79,8,11,22,9,8,472,0.0
2015,North Melbourne,121,39,1,53,42,33,23,21,101,23,63,0,137,144,15,22,95,31,67,1031,373.0
2015,Parkville,99,7,0,44,1,13,6,10,76,1,2,0,24,16,4,2,28,6,0,339,58.0
2015,Port Melbourne,23,28,1,12,77,13,7,11,7,23,124,0,22,108,14,21,29,57,115,692,0.0
2015,South Yarra,12,1,0,5,0,14,5,0,1,1,0,0,9,0,1,0,5,0,0,54,
2015,Southbank,291,28,4,67,44,20,31,36,34,21,16,6,55,164,12,42,258,17,25,1171,2491.0
2015,West Melbourne (Industrial),9,0,1,12,3,0,13,1,0,5,10,0,8,6,3,11,8,58,202,350,
2015,West Melbourne (Residential),66,14,0,20,11,24,9,14,21,15,20,1,65,116,5,8,46,22,42,519,102.0
2016,Carlton,132,15,0,28,8,52,8,17,56,9,7,0,71,67,10,10,64,3,11,568,88.0
2016,City of Melbourne (total),6010,1292,28,1256,656,1276,372,1844,2280,552,1046,84,3168,5538,526,866,4790,696,844,33124,
2016,Docklands,299,43,1,50,27,19,13,57,38,37,18,3,83,169,18,71,224,58,32,1260,1350.0
2016,East Melbourne,76,13,0,44,6,13,6,14,242,9,5,0,52,74,21,9,12,2,4,602,
2016,Kensington,44,10,2,80,21,7,8,4,18,12,45,0,41,39,5,13,40,19,25,433,30.0
2016,Melbourne (CBD),2491,702,10,264,139,470,88,1114,615,183,424,66,1490,2911,230,347,2278,133,206,14161,3372.0
2016,Melbourne (Remainder),64,36,0,49,19,13,4,59,125,10,10,0,45,106,11,17,20,12,10,610,72.0
2016,North Melbourne,129,32,1,33,41,38,19,19,61,17,57,0,126,122,11,18,82,36,61,903,1931.0
2016,Parkville,93,5,0,43,0,71,5,6,150,1,3,0,41,22,3,3,27,6,1,480,250.0
2016,Port Melbourne,35,39,2,21,91,11,7,16,10,26,163,0,30,136,19,27,38,70,124,865,0.0
2016,South Yarra,19,1,0,5,0,19,7,0,1,2,0,0,11,0,2,0,10,0,0,77,
2016,Southbank,257,32,4,64,37,19,28,35,37,23,14,5,57,153,10,36,250,22,24,1107,1818.0
2016,West Melbourne (Industrial),7,0,0,13,5,0,12,0,0,3,11,0,11,4,2,2,10,66,35,181,0.0
2016,West Melbourne (Residential),47,13,0,13,7,16,10,12,19,7,12,0,42,72,2,10,36,15,23,356,382.0
2017,Carlton,291,28,1,44,17,97,14,31,109,19,23,0,134,143,16,21,133,4,18,1143,1714.0
2017,City of Melbourne (total),6064,1262,32,1270,748,1302,380,1864,2276,558,1050,80,3170,5624,540,962,4768,664,834,33448,
2017,Docklands,268,38,1,47,24,18,13,48,32,29,15,2,79,151,14,65,220,47,26,1137,4380.0
2017,East Melbourne,47,8,0,16,4,11,3,7,181,9,3,0,28,43,15,2,5,2,3,387,
2017,Kensington,34,12,2,70,14,10,8,3,21,5,36,0,35,35,5,13,28,16,16,363,
2017,Melbourne (CBD),1276,309,4,148,88,237,48,548,345,109,195,29,724,1338,129,201,1124,70,86,7008,7846.0
2017,Melbourne (Remainder),24,9,0,38,7,8,3,14,59,1,1,0,21,33,4,5,12,5,4,248,1142.0
2017,North Melbourne,116,32,1,47,36,33,17,21,97,20,52,0,114,117,10,17,78,25,53,886,380.0
2017,Parkville,89,5,0,41,0,69,5,5,90,1,3,0,28,20,3,2,22,5,1,389,450.0
2017,Port Melbourne,24,28,1,9,72,7,7,9,5,22,87,0,17,76,10,22,24,46,70,536,0.0
2017,South Yarra,12,1,0,5,0,14,5,0,1,1,1,0,7,0,1,0,4,0,0,52,
2017,Southbank,210,29,4,41,34,12,19,28,31,19,14,6,39,117,7,36,237,11,17,911,1467.0
2017,West Melbourne (Industrial),6,0,0,11,4,0,11,0,0,3,9,0,7,4,2,2,7,57,33,156,
2017,West Melbourne (Residential),26,15,0,10,10,16,6,11,10,8,10,0,28,71,6,10,20,12,22,291,1512.0
2018,Carlton,354,28,0,54,21,124,16,34,139,25,33,0,159,182,20,39,152,5,21,1406,1303.0
2018,City of Melbourne (total),6178,1242,32,1284,776,1322,366,1928,2314,528,990,84,3266,5682,554,980,4568,658,784,33536,
2018,Docklands,276,39,2,52,20,17,13,55,34,29,16,1,84,171,25,63,198,39,22,1156,784.0
2018,East Melbourne,45,8,0,15,4,6,2,6,111,3,2,0,28,33,15,4,7,3,2,294,190.0
2018,Kensington,39,10,0,66,10,8,9,2,23,4,29,0,30,32,4,11,26,14,16,333,352.0
2018,Melbourne (CBD),2391,491,7,264,157,448,80,894,564,154,364,39,1339,2289,217,339,1892,104,189,12222,4111.0
2018,Melbourne (Remainder),24,9,0,28,8,6,2,24,61,3,8,0,19,50,6,7,9,4,8,276,0.0
2018,North Melbourne,95,28,0,38,40,25,16,9,48,17,32,0,100,99,7,12,75,20,43,704,428.0
2018,Parkville,111,10,0,48,0,101,5,6,92,0,1,0,23,5,2,1,26,4,0,435,228.0
2018,Port Melbourne,19,27,1,9,67,6,5,9,5,21,80,0,15,74,7,19,20,30,65,479,
2018,South Yarra,1,0,0,2,0,6,1,0,0,1,0,0,3,0,1,0,0,0,0,15,36.0
2018,Southbank,119,19,3,35,23,8,10,20,23,17,7,5,25,64,5,25,205,6,13,632,1934.0
2018,West Melbourne (Industrial),5,0,0,4,1,0,5,0,0,1,2,0,1,1,0,2,2,34,18,76,
2018,West Melbourne (Residential),58,18,0,16,14,28,13,12,25,9,7,0,57,97,3,9,36,8,26,436,714.0
2019,Carlton,327,25,0,50,20,115,14,33,125,23,26,0,141,157,15,31,144,5,18,1269,2587.0
2019,City of Melbourne (total),3156,605,17,651,395,676,192,969,1167,252,481,37,1602,2770,305,485,2263,316,381,16720,
2019,Docklands,300,42,2,67,26,20,16,59,43,32,20,1,96,183,25,71,254,44,25,1326,700.0
2019,East Melbourne,21,9,0,31,2,7,4,11,116,2,3,1,24,38,18,2,6,1,4,300,574.0
2019,Kensington,50,9,0,72,23,9,8,2,25,8,43,0,40,37,5,14,31,17,30,423,20.0
2019,Melbourne (CBD),1841,388,8,177,144,368,64,756,411,107,226,31,993,1831,188,269,1447,86,109,9444,2796.0
2019,Melbourne (Remainder),46,10,0,23,9,6,1,22,71,1,5,0,19,33,4,11,16,8,7,292,
2019,North Melbourne,142,38,1,51,48,39,24,28,105,20,44,0,143,157,11,21,94,26,53,1045,1787.0
2019,Parkville,87,7,0,41,0,61,4,7,95,1,3,0,24,20,3,1,22,4,1,381,541.0
